-432.6, -432.6, 1
-433, -432.8, 1
-433.2, -432.93333333333334, 1
-433.2, -433.0, 1
-433.2, -433.04, 1
-433.2, -433.06666666666666, 1
-433.4, -433.1142857142857, 1
-428, -432.47499999999997, 1
-433.2, -432.55555555555554, 1
-432.8, -432.58, 1
-433.2, -432.6363636363636, 1
-433.2, -432.68333333333334, 1
-317.8, -423.84615384615387, 1
-380.4, -420.74285714285713, 1
-432.2, -421.50666666666666, 1
-433, -422.225, 1
-433, -422.8588235294118, 1
-433.6, -423.4555555555556, 1
-432, -423.90526315789475, 1
-432.4, -424.33000000000004, 1
-432.4, -424.7142857142858, 1
-433.2, -425.1000000000001, 1
-430.8, -425.3478260869566, 1
-433, -425.66666666666674, 1
-433.2, -425.9680000000001, 1
-430.8, -426.15384615384625, 1
-433.4, -426.42222222222233, 1
-428.6, -426.5000000000001, 1
-432.8, -426.71724137931045, 1
-433, -426.9266666666668, 1
-433.2, -427.1290322580646, 1
-432.6, -427.3000000000001, 1
-378.6, -425.8242424242425, 1
-402.6, -425.14117647058833, 1
-358, -423.22285714285726, 1
-342.4, -420.9777777777779, 1
-407, -420.6000000000001, 1
-433, -420.92631578947373, 1
-431.6, -421.20000000000005, 1
-432.8, -421.49000000000007, 1
-431.2, -421.72682926829276, 1
-432.6, -421.9857142857144, 1
-432, -422.2186046511629, 1
-433, -422.46363636363645, 1
-433.4, -422.70666666666676, 1
-433.2, -422.93478260869574, 1
-430.2, -423.08936170212775, 1
-430.8, -423.2500000000001, 1
-433.4, -423.45714285714297, 1
-433.4, -423.6560000000001, 1
-432.8, -423.83529411764715, 1
-406.6, -423.50384615384627, 1
-343.6, -421.99622641509444, 1
-338.4, -420.4481481481482, 1
-344, -419.0581818181819, 1
-433, -419.30714285714294, 1
-430.6, -419.50526315789483, 1
-430.6, -419.69655172413803, 1
-432.4, -419.9118644067798, 1
-430.6, -420.09000000000015, 1
-432.6, -420.29508196721326, 1
-350, -419.1612903225808, 1
-421.6, -419.20000000000016, 1
-432.4, -419.40625000000017, 1
-433.4, -419.62153846153865, 1
-432.6, -419.818181818182, 1
-433.4, -420.02089552238823, 1
-433, -420.2117647058825, 1
-432.6, -420.39130434782624, 1
-433.4, -420.57714285714303, 1
-433.4, -420.7577464788734, 1
-432.6, -420.9222222222224, 1
-430.8, -421.0575342465755, 1
-432.8, -421.2162162162164, 1
-432.4, -421.3653333333335, 1
-432.4, -421.51052631578966, 1
-432.6, -421.65454545454566, 1
-433.2, -421.8025641025643, 1
-433.4, -421.9493670886078, 1
-432.2, -422.0775000000002, 1
-433.4, -422.2172839506175, 1
-432, -422.33658536585386, 1
-431.4, -422.4457831325303, 1
-433.2, -422.5738095238097, 1
-432.2, -422.6870588235296, 1
-433.2, -422.80930232558154, 1
-350.4, -421.977011494253, 1
-433.2, -422.1045454545456, 1
-390.8, -421.7528089887642, 1
-342, -420.8666666666668, 1
-263.8, -419.14065934065945, 1
-433, -419.2913043478262, 1
-432.4, -419.43225806451625, 1
-432.6, -419.57234042553205, 1
-432.4, -419.70736842105276, 1
-433.4, -419.85000000000014, 1
-433.4, -419.9896907216496, 1
-361.6, -419.3938775510205, 1
-433, -419.53131313131325, 1
-433, -419.6660000000001, 1
